,train_mov,train_reg,val_mov,val_reg
0,0.11185839027166367,2.8175668376206886e-06,8.626834642200265e-06,2.871738402632218e-08
1,7.959653885336593e-06,1.3891209960092965e-08,1.3700956742468406e-06,6.866791579795972e-09
2,1.518504177511204e-06,4.114466545246387e-09,3.0691376196045894e-07,2.5678801307549293e-09
3,7.111755166988587e-07,1.8099433063412107e-09,1.5790527641001972e-07,1.1952090428479778e-09
4,8.567730560571363e-07,9.929499444893963e-10,7.931634371516338e-08,7.061163875832221e-10
5,1.2107865359212155e-06,5.707276318211996e-10,3.779960344729716e-09,4.3741044120082506e-10
6,2.305946651404156e-07,3.6833508465505815e-10,2.1932338611918567e-08,2.932357689999776e-10
7,2.0602969641458913e-07,2.5128421565767667e-10,5.0575945209629936e-08,1.847856173631257e-10
8,1.0107805081815968e-07,1.7278094233130759e-10,5.053057705595165e-08,1.3859811909266995e-10
9,9.646687715303415e-08,1.1632130675343078e-10,1.4983142504476632e-09,9.68054941763441e-11
10,1.6026321247863962e-07,7.588388944990143e-11,8.704071352561016e-10,5.67049567024025e-11
11,7.48683390838778e-08,4.464148842253657e-11,1.7604139257443308e-09,3.348914895395794e-11
12,8.13883929140502e-08,2.5767899966555596e-11,1.4934761205509517e-09,1.9030227046967774e-11
13,4.4435772394990636e-08,1.4628839806185567e-11,3.5604188042270835e-08,1.1901660212920717e-11
14,2.979806623670811e-08,8.672965123857068e-12,3.96377847211582e-10,6.5069434215803135e-12
15,1.5087900706589608e-08,5.446963192989873e-12,3.873333320747463e-10,4.45064818332952e-12
