,train_mov,train_reg,val_mov,val_reg
0,0.03210499510169029,7.358963785009109e-07,2.4268636025226442e-06,4.167613099070877e-08
1,3.58910983777605e-06,2.358915018874086e-08,4.265609277354088e-06,1.397714921580473e-08
2,3.0089131541899405e-06,1.230631863080589e-08,5.469406005431665e-06,6.9233587751682535e-09
3,4.0888194234867115e-06,9.628538855110946e-09,1.3735351558352704e-06,1.4120539404416377e-08
4,1.2157768196630059e-06,5.436427308325165e-09,3.8419679526668915e-07,6.387820050690607e-09
5,2.067662762783584e-06,4.602750625082308e-09,3.176156155859644e-07,2.2888220208017174e-09
6,2.787976200124831e-06,3.0997824307377186e-09,7.397657100227661e-07,2.3696402617900958e-09
7,1.428873474651482e-06,2.196564707901416e-09,5.260609441393171e-07,1.3542391652521246e-09
8,8.229119430325227e-07,1.4529148995023888e-09,1.3848239177605137e-07,1.477663547078123e-09
9,1.3952612789580598e-06,1.146090666814814e-09,3.373542369899951e-07,1.7945299690680372e-09
10,2.224455357691113e-07,7.148804326284619e-10,4.0681143786969187e-07,5.009444525860829e-10
11,7.959476988617098e-07,8.27237944811543e-10,2.626836987928982e-07,3.447121199595671e-10
12,3.1219119023262465e-07,4.824612376275184e-10,1.4817352393947658e-06,3.2528341131765615e-10
13,5.010579116060399e-07,4.161700983829064e-10,2.3364042078810598e-07,1.0716104670294158e-09
14,2.1884764578317117e-07,3.972165096843838e-10,9.155663605042719e-08,3.217703603564104e-10
15,2.2279628808519192e-07,2.576098501183566e-10,1.7817121999996743e-08,1.971597884953269e-10
16,1.134671038016677e-06,3.580234997357934e-10,9.606331019540448e-08,1.8211371299869938e-10
17,2.1254500381928665e-07,2.2794083287536182e-10,2.7530083457349974e-07,2.53460252785942e-10
18,3.593507642563054e-07,2.2226469276187544e-10,8.257486250329293e-09,1.6667228708300286e-10
19,1.5980184286945587e-07,2.271620669347385e-10,3.136570114747883e-08,1.3722166458673968e-10
20,5.947754857515974e-07,2.4207996718317304e-10,6.720318879160914e-08,2.0208788809039646e-10
21,3.5348605820217927e-07,1.9038785825653548e-10,1.0555423202163183e-08,1.3020030886767842e-10
22,7.127928824957053e-08,1.2824967476898763e-10,1.2378251312838984e-07,1.588075781988607e-10
23,1.5279374565579928e-07,1.3490905614865767e-10,2.9946378710121735e-09,7.710734828414445e-11
24,5.875040898217776e-08,1.1710164782297028e-10,5.260837987464129e-09,1.7255423478967913e-10
25,3.8897306353646854e-07,1.5463394453796298e-10,7.18981496561355e-09,1.1021241558273331e-10
26,4.9383746869580136e-08,8.366474180121486e-11,3.239339907423755e-09,8.718588351275258e-11
27,3.606488974128297e-08,8.250916616603376e-11,2.3254602865563356e-07,2.0662235811208518e-10
28,8.277406493562012e-08,9.030906578111342e-11,4.500023464970582e-08,7.967886073156905e-11
29,2.2759941487038304e-07,9.574024212311016e-11,1.9368027182053993e-09,6.476991165627055e-11
30,3.604886700259158e-08,6.812125863397966e-11,9.09261643755599e-09,4.62615327989635e-11
31,3.946711402136316e-08,7.031229071197131e-11,3.852530028325418e-08,6.532186597185685e-11
32,2.884394412205893e-08,6.900231080964048e-11,7.820491809695795e-09,4.181553714399655e-11
33,4.187245039588561e-08,5.541056502522679e-11,8.320160671537735e-10,3.6256424945646515e-11
34,6.675443842141249e-08,6.077164466100626e-11,2.8996336443043447e-09,3.7025587457106823e-11
35,1.5872494429913786e-08,4.4457850595369663e-11,1.1562184099034312e-08,3.3128937093618305e-11
36,5.387181900573523e-08,4.615411178243711e-11,1.325613285807492e-09,3.037907078673463e-11
37,2.4304945611675066e-08,4.2536779654156476e-11,2.36748043391799e-09,3.053334668434715e-11
38,6.997245094453319e-08,3.9783815131144706e-11,1.3299545909006838e-09,2.674126371726704e-11
39,2.7286626291811444e-08,3.330813402868671e-11,6.082806702778498e-09,2.0797523425652997e-11
40,2.7388963985686132e-08,4.0859357564038135e-11,1.390573656223637e-09,2.7545136310758167e-11
41,4.666637565264864e-08,4.26306802359111e-11,3.6405221059965243e-09,2.7415937575714366e-11
42,8.76157013607326e-09,3.0762462022160264e-11,1.0701989294759073e-09,2.4573209786438177e-11
43,4.9723180239880094e-08,4.391996141772658e-11,1.1752062656356088e-09,3.1735752914485715e-11
44,7.496286258401597e-09,2.4623284314295724e-11,9.533981604192832e-09,2.0199272809939828e-11
45,1.1572487856881253e-08,2.6462838864649285e-11,5.960805737892372e-10,2.1771176875184928e-11
46,2.0555413371425857e-08,2.9175457189056786e-11,6.029070576119011e-10,1.7824361778218112e-11
47,7.180274153029131e-09,2.0588478838456936e-11,1.931611537386857e-09,2.666792828232012e-11
48,2.186574299400945e-08,2.619025656069862e-11,2.6759841009749152e-09,1.6109610173620226e-11
49,7.568434767790677e-09,1.744618685628474e-11,3.0708393605749507e-09,1.4518462820856115e-11
50,1.1654664788807167e-08,1.878020482182219e-11,1.9861069233684248e-08,1.908663158078916e-11
51,2.0571890857468134e-09,1.375280445081728e-11,7.026178527880234e-10,1.2754152768634786e-11
52,2.164222046019404e-08,1.8332994844438844e-11,3.3733225990317806e-08,1.498137204569705e-11
53,3.15936219408286e-08,1.543015368254963e-11,6.069567071165238e-09,2.1066270255998276e-11
54,1.0408878203804761e-08,1.4353746490003427e-11,5.962923488311844e-10,1.8408545521264585e-11
55,1.2608785127099509e-08,1.2848683922372928e-11,2.2994666171172184e-09,1.3920118530075243e-11
56,1.3469992898862415e-09,1.0544153224156805e-11,5.556843318821336e-10,1.1675607529404441e-11
57,2.908307550342215e-08,1.1472794936295827e-11,2.3645085889256734e-10,8.303985103708111e-12
58,3.3500990870294345e-09,1.2014220347744686e-11,2.28090657472535e-09,1.0616522418127605e-11
59,2.0412560530758128e-08,1.3677013514790115e-11,2.2799098720049926e-10,7.953648156755477e-12
60,1.984794550935476e-09,9.85520172414045e-12,3.0382313331855926e-10,8.612148320874535e-12
61,5.02569541538378e-09,8.906693958754541e-12,2.0365482633621923e-09,7.543462382519905e-12
62,2.5997228814134132e-09,7.605976612423682e-12,5.016801418733507e-10,5.834125283571412e-12
63,5.5753170968841914e-09,8.246544939971567e-12,2.3075630295466e-09,7.89246706184299e-12
64,4.108631657118167e-09,7.82512509650557e-12,6.198601187890063e-09,1.688112843956091e-11
65,4.161336608632382e-09,7.280443609092302e-12,1.6388689016988423e-10,6.793448182468298e-12
66,9.290143654361316e-10,6.031776640658126e-12,9.290507252401881e-10,5.2044497184100535e-12
67,1.7868792001607403e-09,5.985944379061081e-12,7.779440980293373e-10,6.49216401124586e-12
68,1.4133989534315106e-09,5.761577413082586e-12,1.5464911573559448e-09,6.889040119612e-12
69,1.7870880331116723e-09,5.615135093006707e-12,1.505034152859963e-10,6.241027659947829e-12
70,2.178412294995269e-08,6.999054981415842e-12,4.099739644991551e-11,5.5897296340201574e-12
